experiment_id,ccf_id,ccf_region,layer,celltype,dispersion,size
194526_004,1015,ACAd,L5,CT,,0
194526_007,1015,ACAd,L5,IT,80.75161374,64
194526_010,1015,ACAd,L5,IT,120.8601116,60
194526_011,767,MOs,L5,IT,60.67211533,28
194526_013,1015,ACAd,L5,IT,,0
194527_003,1015,ACAd,L5,ET,,0
194527_003,1015,ACAd,L5,ET,,0
194527_006,1015,ACAd,L5,IT,59.93962983,12
194527_007,767,MOs,L5,CT,,0
194527_007,767,MOs,L5,CT,,0
194527_010,767,MOs,L5,IT,51.39920246,37
194527_012,767,MOs,L5,IT,,0
194527_013,1015,ACAd,L5,IT,92.26824442,231
194528_001,1015,ACAd,L5,CT,,0
194528_001,1015,ACAd,L5,CT,,0
194528_002,1015,ACAd,L5,IT,,0
194528_004,1015,ACAd,L5,CT,,0
194528_004,1015,ACAd,L5,CT,,0
194528_007,1015,ACAd,L5,IT,100.4739875,101
194528_009,1015,ACAd,L5,IT,110.5765311,68
194528_010,363,PL,L5,IT,83.62739362,46
194528_011,363,PL,L5,CT,,0
194528_011,363,PL,L5,CT,,0
194528_012,363,PL,L5,IT,73.314897,73
194528_016,363,PL,L5,IT,50.40200178,51
194530_001,363,PL,L5,ET,14.40486029,2
194530_006,767,MOs,L5,IT,110.8320899,92
194530_007,1015,ACAd,L5,IT,67.98783931,89
194530_010,767,MOs,L5,ET,66.08385886,50
194531_003,1015,ACAd,L5,ET,74.16969633,4
194531_003,1015,ACAd,L5,ET,74.16969633,4
194531_004,767,MOs,L5,CT,,0
194531_004,767,MOs,L5,CT,,0
194531_011,767,MOs,L5,IT,21.4223792,10
194778_003,1101,AId,L5,IT,,0
194778_006,1101,AId,L5,IT,44.67546243,6
194778_007,1101,AId,L5,ET,42.21971127,38
194778_007,1101,AId,L5,ET,42.21971127,38
194778_019,767,MOs,L5,ET,,0
194778_020,1101,AId,L5,CT,,0
194778_020,1101,AId,L5,CT,,0
194778_022,1101,AId,L5,IT,101.2650806,116
194778_024,1101,AId,L5,ET,67.79949376,136
194778_024,1101,AId,L5,ET,67.79949376,136
194778_025,767,MOs,L5,ET,46.24088572,41
194778_029,767,MOs,L5,CT,,0
194778_029,767,MOs,L5,CT,,0
194778_036,767,MOs,L5,CT,,0
194778_036,767,MOs,L5,CT,,0
194778_040,767,MOs,L5,ET,54.32516026,64
194778_047,767,MOs,L5,ET,50.67687622,102
194778_054,767,MOs,L5,IT,47.72385866,36
194778_058,767,MOs,L5,CT,,0
194778_058,767,MOs,L5,CT,,0
194778_061,767,MOs,L5,IT,82.26607202,255
194778_063,767,MOs,L5,IT,82.90722897,114
194778_064,767,MOs,L5,ET,,0
194778_067,767,MOs,L5,IT,55.25559517,78
194778_070,767,MOs,L5,IT,71.23307679,23
194778_086,363,PL,L5,IT,100.1105194,52
194778_087,363,PL,L5,IT,50.14601955,114
194778_088,363,PL,L5,IT,81.40502858,137
194778_093,363,PL,L5,IT,47.69202605,34
194778_094,363,PL,L5,IT,90.76088422,26
194778_099,363,PL,L5,ET,52.48938752,9
194778_102,363,PL,L5,ET,33.66824944,7
194778_107,620,ORBm,L5,ET,51.04531268,14
194778_109,620,ORBm,L5,ET,24.48452149,8
194778_110,620,ORBm,L5,IT,94.22808395,26
194778_116,1125,ORBvl,L5,CT,,0
194778_116,1125,ORBvl,L5,CT,,0
194778_125,620,ORBm,L5,CT,,0
194778_125,620,ORBm,L5,CT,,0
194778_126,1125,ORBvl,L5,CT,,0
194778_126,1125,ORBvl,L5,CT,,0
194778_127,620,ORBm,L5,IT,,1
194778_129,1125,ORBvl,L5,IT,45.65219891,35
194778_133,1125,ORBvl,L5,ET,39.13515474,26
194778_134,1125,ORBvl,L5,CT,,0
